"","Nro Intimacion","Factura","Cliente","Emision","Importe","Vencimiento","Fecha Intimacion","Recepcion Intimacion","Imputacion","Fecha Imputacion","Importe Imputacion","Saldo"
"141",1786,"FACB2 - 8319","150 - OSBA",2020-05-28,181030.19,2020-07-03,2021-01-07 00:00:00,2021-01-19,"RECX2 - 9161",2021-03-25,181030.19,0
"142",1786,"FACB2 - 8506","150 - OSBA",2020-06-11,420557.51,2020-07-17,2021-01-07 00:00:00,2021-01-19,"RECX2 - 9161",2021-03-25,420557.51,0
"143",1786,"FACB2 - 8654","150 - OSBA",2020-06-19,139714,2020-07-24,2021-01-07 00:00:00,2021-01-19,"RECX2 - 9161",2021-03-25,139714,0
"144",1786,"FACB2 - 9686","150 - OSBA",2020-08-12,15188,2020-10-03,2021-01-07 00:00:00,2021-01-19,"RECX2 - 9161",2021-03-25,15188,0
"145",1786,"FACB2 - 10825","150 - OSBA",2020-10-07,130290,2020-11-18,2021-01-07 00:00:00,2021-01-19,"RECX2 - 9161",2021-03-25,82992,0
"146",1811,"FACB2 - 10813","411 - OSPIM",2020-10-07,992445.88,2020-11-18,2021-01-21 00:00:00,2021-01-25,"RECX2 - 9168",2021-03-25,812293.76,180152.12
"147",1839,"FACB2 - 6937","510 - OSPA",2020-01-13,60461,2020-03-13,2021-01-28 00:00:00,2021-02-01,"RECX2 - 9169",2021-03-25,46000,0
"148",1817,"FACB2 - 8983","175 - OSCI",2020-07-14,22748,2020-08-28,2021-01-21 00:00:00,2021-01-25,"RECX2 - 9174",2021-03-25,22748,0
"149",1817,"FACB2 - 9856","175 - OSCI",2020-08-19,10262,2020-10-03,2021-01-21 00:00:00,2021-01-25,"RECX2 - 9174",2021-03-25,10262,0
"150",1817,"FACB2 - 9953","175 - OSCI",2020-08-21,40610,2020-10-22,2021-01-21 00:00:00,2021-01-25,"RECX2 - 9174",2021-03-25,33210,0
"151",1817,"FACB2 - 10515","175 - OSCI",2020-09-21,93130,2020-10-25,2021-01-21 00:00:00,2021-01-25,"RECX2 - 9174",2021-03-25,77672,0
